"","glnA","gltB","nirK","gltD","narG","nrtD","narH","nosZ","nirS","hao","norB","nrtA","nirA","ureA","nirB","narB","nrtB","nrfA","nirK_related","narI","nrfH","nifH","narJ","nifK","norC","amoC","nifD","nirD","ureB","ureC"
"MC",-0.321739130434783,-0.238260869565217,0.0234782608695652,-0.226086956521739,-0.0156555776695071,-0.230434782608696,-0.255652173913043,-0.115677323891358,-0.12695652173913,-0.193913043478261,0.0391474591187557,-0.071754730985241,-0.232709895872603,-0.12959339293092,-0.289628186885882,-0.130463147245893,-0.0644319226065107,-0.162244469458843,0.0143509461970482,-0.311304347826087,-0.195259843711353,-0.187866932034085,-0.117442377356267,-0.242226576719874,-0.091819007794656,0.0710862448916006,-0.0979325933429452,-0.0213228975447305,-0.236830850661769,-0.202526439750685
"EC",0.00347826086956522,0.108695652173913,0.292173913043478,-0.0452173913043478,0.285279415311019,-0.0765217391304348,0.178260869565217,0.201348123916161,-0.0565217391304348,-0.173913043478261,0.174858650730442,0.0834964142373713,0.219660742833018,-0.0247879979767196,-0.0221787350318018,-0.0691454680403231,0.12494568775722,-0.170073961282594,-0.482713644809803,0.0191304347826087,-0.0808871512924535,-0.0465318558510351,0.0661157087338985,-0.104370517796714,-0.228894777725067,0.0510250960264864,-0.07747556273353,0.235857356515183,0.0287331546758764,-0.286585800765486
"pH",0.270293957626529,0.215016449384066,0.0818281224376609,0.175843412046888,0.0261210373285222,0.105767200810381,0.127965255301448,0.0448411140806297,0.0948858015500536,0.221545288940263,0.105377771226665,0.235089335956699,-0.0361419628587322,0.248149854620961,0.139529874396523,0.339355809959717,0.0459795173261612,0.400174263459938,0.493687605509069,0.0700762112365075,0.329560420961521,0.135829394108315,0.234705035913935,0.0182847261299655,0.0326726211192189,0.142327277515254,0.147058823529412,0.204748425680438,0.290259322646667,0.448005327993943
"NO₃⁻–N",0.333043478260869,0.202608695652174,0.324347826086956,0.448695652173913,0.19091107213649,0.424347826086956,0.46,0.252663628499545,0.272173913043478,0.392173913043478,0.0191387577913917,0.161774302584907,0.185732944930096,0.22265710463299,0.19439008939638,0.42183084276172,0.283848740131385,0.227055262888783,0.118286586836276,0.29304347826087,0.327027622429704,-0.173081108679551,0.305785152894281,-0.131767778718352,-0.309399594985784,0.587878884134219,-0.19151262698176,0.29329863153364,0.25163277882813,0.282230393459019
"NH₄⁺–N",0.24,0.164347826086956,0.328695652173913,0.271304347826087,0.527940869188379,0.239130434782609,0.593913043478261,0.392259196052651,0.140869565217391,0.350434782608696,0.161374525922871,0.181343774671791,0.113527631444392,0.0213089807168291,0.0178299634569387,0.0439225929061172,-0.11580332036035,0.399739054779294,-0.258751908704354,0.523478260869565,0.459665155463029,0.123505112726112,0.23531972648052,0.146553602072886,-0.151871249859407,0.242042122176922,-0.00696409552660944,0.0791993337375705,0.00217675414211185,-0.132839922847224
"TC",0.0191304347826087,0.185217391304348,0.00347826086956522,0.241739130434783,-0.0356599269138773,0.16,0.0408695652173913,-0.0608828020480833,0.169565217391304,0.255652173913043,0.124836897412032,-0.136116550293215,-0.11483254674835,-0.0713198538277547,0.0447923472210898,0.0195694720868839,0.0326513121316777,0.102653337244737,0.144814093442941,0.0773913043478261,0.323548605169814,-0.124374867041084,0.0626359345900091,0.00391389441737678,0.34725861715704,0.283036643770852,0.00217627985206545,-0.0483028903564304,-0.117980074502462,-0.0888503090519134
"TN",0.320852099960989,0.177958951617707,0.285347974145634,0.415529768801937,0.185669963507773,0.487414665514508,0.254227073739581,0.308865382033592,0.577709108946152,0.389230416346118,0.568970929323369,0.138101625749583,-0.11072459318239,-0.137663207890061,0.134155865013881,0.0287163697987229,-0.133424197652099,0.333270062647985,0.313030351699056,-0.035065803274425,0.471737616846196,-0.146650774010272,0.147998218610125,-0.113988643475847,0.619450314641704,0.133877288260594,-0.117378934913258,-0.00438704188839734,0.130790825330018,0.232276935922399
"C:N",-0.372173913043478,-0.159130434782609,-0.313913043478261,-0.431304347826087,-0.180039143199332,-0.541739130434783,-0.260869565217391,-0.357469023453746,-0.605217391304348,-0.36,-0.576772564349667,-0.192650580766435,0.067420624037857,0.0560991533157339,-0.161339425427421,-0.0926288345445838,0.0901176214834306,-0.304480237590322,-0.36051316355615,0.0782608695652174,-0.421395965604233,0.161774302584907,-0.147455429347313,0.133072410190811,-0.571801783138284,-0.107283535235176,0.141893446354667,-0.0483028903564304,-0.235524798176502,-0.347997043786661
