"","glnA","gltB","nirK","gltD","narG","nrtD","narH","nosZ","nirS","hao","norB","nrtA","nirA","ureA","nirB","narB","nrtB","nrfA","nirK_related","narI","nrfH","nifH","narJ","nifK","norC","amoC","nifD","nirD","ureB","ureC"
"MC",0.125375189701076,0.261005220904553,0.914175672726268,0.286727660258554,0.942119495862306,0.277361168126841,0.226964746643328,0.590396984778749,0.552903032402303,0.362246047341479,0.855885901005525,0.738991535957486,0.273827231538565,0.546151255710833,0.169823150040344,0.543437574552058,0.764855433637415,0.448785660962243,0.946935950477587,0.138645106175959,0.360531303010133,0.379352976547309,0.584701032556466,0.25411998003838,0.669590715585981,0.741341713125851,0.648925837803538,0.921221761510013,0.265177634559251,0.342573505920231
"EC",0.988644224185362,0.611897284772542,0.165583883389353,0.8340563378203,0.176615749072883,0.721693916394042,0.402889432933747,0.34544870431724,0.79298180243311,0.414622120503985,0.413800735854381,0.698097968396592,0.302385318309039,0.908468527428825,0.918069996351448,0.748177502964406,0.560757211168984,0.426890397657537,0.0168869234583438,0.930325211230185,0.707119812918157,0.82906112000433,0.758885623519727,0.627433327102529,0.28199284238922,0.812827143898834,0.718973574874681,0.267204953202592,0.89397529003968,0.174555765397248
"pH",0.201456853444657,0.312977606693969,0.70386180480221,0.411134393653192,0.903567970713935,0.622808400717058,0.551247855843064,0.835187725423121,0.659194233795972,0.298151266291294,0.624096562920875,0.268811342878556,0.866849978004163,0.242329843804089,0.515526782685001,0.104737477473443,0.831061539562991,0.052667198840115,0.0142172467763334,0.744896913470956,0.115806073784077,0.526834084959612,0.269617452994199,0.932419318712998,0.879535731073114,0.507057464313689,0.492888882580585,0.337190509866806,0.168852693521404,0.0281308370336425
"NO₃⁻–N",0.112083215049183,0.340761826906589,0.12220933855297,0.0290182409200598,0.371535879190648,0.0398891225563823,0.0248627555793302,0.233589487787618,0.197531684264691,0.0590046213988637,0.929270332325336,0.450119052887451,0.384888495045216,0.295670685202609,0.362716850917163,0.0400558253781297,0.178890975387113,0.285984286574414,0.581985139754387,0.164283976271304,0.11880217133968,0.418637619950934,0.14618539043862,0.539378795284687,0.141235381084769,0.00251896844155403,0.370002212569994,0.164233506931883,0.235567031628619,0.18148899521564
"NH₄⁺–N",0.257458355455517,0.441097652099994,0.117064930281453,0.199011290541273,0.00801093096702058,0.25922780392968,0.00267038586886215,0.0579769592988129,0.509816349061177,0.0937279211102072,0.451254458253441,0.396417157086709,0.597366074229636,0.921273022199114,0.934096524467225,0.838520023656798,0.589989599056341,0.0529489643238287,0.222133383531267,0.00954790762130282,0.0238302673161554,0.565319792850142,0.268328812823283,0.494392290647222,0.478683388323104,0.254492985545068,0.974236050047249,0.712976177339582,0.99194583629118,0.536053904683377
"TC",0.930325211230185,0.384515459513134,0.988644224185362,0.253943346107723,0.868610721686901,0.453428902400789,0.849975814503845,0.777480995463711,0.42654414226392,0.226964746643328,0.561101191718668,0.525952448886519,0.593131516175264,0.740520164680654,0.835364577829405,0.927682589863546,0.879613740161659,0.633138233193589,0.499586003274087,0.718641194074751,0.123009114952519,0.562563127004363,0.771237396104996,0.985518789623304,0.0963927676352964,0.180191443643879,0.991947591146714,0.822653921769526,0.582970581788368,0.679711075944849
"TN",0.126343443990211,0.405438548727675,0.176507224693233,0.0434495570863321,0.385052561771866,0.0156972138790911,0.230611170850218,0.141959343730978,0.00311291393639211,0.0601147307774378,0.00371409524582278,0.519877057581483,0.606505059014656,0.52121594794762,0.531986122332788,0.894036885854493,0.534246024293779,0.111518054914334,0.136384775402594,0.870781723815218,0.0199525377475685,0.494102955159396,0.490099555261115,0.595868592130809,0.00124681825735274,0.532846031549678,0.584905353418568,0.983768380529935,0.542416822354094,0.274746268200712
"C:N",0.074102988917996,0.455917108420258,0.135235553329379,0.0364955163894138,0.399880891403776,0.00702731836089019,0.217367239043552,0.0863564534353712,0.00212165224723347,0.0846574222561393,0.00317312282742843,0.367111018551835,0.754268243619205,0.794584530609451,0.451354219047455,0.666839567102302,0.675384089460606,0.148002438032468,0.0835218277737889,0.715592731145311,0.0402831162855535,0.450119052887451,0.491710284835643,0.535334192510385,0.0035094441014587,0.617802891426103,0.508366446003647,0.822653921769526,0.267899776194196,0.0956391004933346
