"Process","Gene_label","Group","Group_label","System","Mean","LogMean"
"Ammonia assimilation","gltD","CK1","CK1","NH system",2886,3.46044678388072
"Ammonia assimilation","gltD","CK2","CK2","NO system",2215.33333333333,3.34563507823173
"Ammonia assimilation","gltD","NH1","NH_Low","NH system",3314,3.52048353274079
"Ammonia assimilation","gltD","NH2","NH_Mid","NH system",2883.33333333333,3.46004544899537
"Ammonia assimilation","gltD","NH3","NH_High","NH system",3085.33333333333,3.48944282937765
"Ammonia assimilation","gltD","NO1","NO_Low","NO system",2374,3.37566361396089
"Ammonia assimilation","gltD","NO2","NO_Mid","NO system",2998.66666666667,3.4770729970962
"Ammonia assimilation","gltD","NO3","NO_High","NO system",2871.33333333333,3.45823483822591
"Nitrogen fixation","nifD","CK1","CK1","NH system",76.6666666666667,1.89023466630636
"Nitrogen fixation","nifD","CK2","CK2","NO system",130.666666666667,2.1194758409068
"Nitrogen fixation","nifD","NH1","NH_Low","NH system",76.6666666666667,1.89023466630636
"Nitrogen fixation","nifD","NH2","NH_Mid","NH system",78.6666666666667,1.90127664622848
"Nitrogen fixation","nifD","NH3","NH_High","NH system",61.3333333333333,1.79472035181684
"Nitrogen fixation","nifD","NO1","NO_Low","NO system",86,1.93951925261862
"Nitrogen fixation","nifD","NO2","NO_Mid","NO system",75.3333333333333,1.88271422762023
"Nitrogen fixation","nifD","NO3","NO_High","NO system",70.6666666666667,1.85531720519594
"Nitrogen fixation","nifH","CK1","CK1","NH system",178.666666666667,2.25446751046708
"Nitrogen fixation","nifH","CK2","CK2","NO system",248,2.39619934709574
"Nitrogen fixation","nifH","NH1","NH_Low","NH system",208,2.32014628611105
"Nitrogen fixation","nifH","NH2","NH_Mid","NH system",180.666666666667,2.25927524755698
"Nitrogen fixation","nifH","NH3","NH_High","NH system",172.666666666667,2.23971646857986
"Nitrogen fixation","nifH","NO1","NO_Low","NO system",189.333333333333,2.27951485352619
"Nitrogen fixation","nifH","NO2","NO_Mid","NO system",202,2.30749603791321
"Nitrogen fixation","nifH","NO3","NO_High","NO system",197.333333333333,2.29739571100889
"Nitrogen fixation","nifK","CK1","CK1","NH system",150.666666666667,2.18089014193745
"Nitrogen fixation","nifK","CK2","CK2","NO system",258.666666666667,2.4144162029529
"Nitrogen fixation","nifK","NH1","NH_Low","NH system",146,2.16731733474818
"Nitrogen fixation","nifK","NH2","NH_Mid","NH system",117.333333333333,2.07310709833543
